resource,development-policy-area,documentation-url,end-date,entry-date,geometry,name,organisation,start-date,slug
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPWYE,,,2021-01-08,"MULTIPOLYGON (((-0.724809 51.622058,-0.724665 51.622055,-0.723663 51.621771,-0.722734 51.621426,-0.722103 51.621154,-0.722817 51.620643,-0.723475 51.620861,-0.723993 51.621193,-0.724505 51.621584,-0.724782 51.621719,-0.725104 51.621826,-0.724926 51.622009,-0.724809 51.622058)))",Wye Industrial Estate,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPWYE
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPBAK,,,2021-01-08,"MULTIPOLYGON (((-0.761460 51.633397,-0.761129 51.633425,-0.760743 51.633369,-0.760915 51.633029,-0.760920 51.632930,-0.761091 51.632618,-0.761075 51.632584,-0.760801 51.632529,-0.761069 51.632037,-0.761116 51.631915,-0.761101 51.631889,-0.761284 51.631897,-0.762196 51.632102,-0.761460 51.633397)))",Baker Street,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPBAK
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPKCH,,,2021-01-08,"MULTIPOLYGON (((-0.766965 51.631416,-0.766250 51.632129,-0.765398 51.631822,-0.765826 51.631401,-0.765672 51.631342,-0.765996 51.631031,-0.766965 51.631416)))",Kitchener Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPKCH
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPMILL,,,2021-01-08,"MULTIPOLYGON (((-0.780400 51.637001,-0.781047 51.635817,-0.781629 51.635941,-0.781805 51.636030,-0.782732 51.636121,-0.782717 51.636228,-0.783418 51.636615,-0.783660 51.636692,-0.783537 51.636995,-0.784141 51.637106,-0.783960 51.637537,-0.783201 51.637424,-0.782959 51.637940,-0.783655 51.638058,-0.783576 51.638284,-0.783207 51.639008,-0.783035 51.639044,-0.782291 51.638773,-0.782458 51.638492,-0.782000 51.638415,-0.782049 51.638282,-0.781947 51.638267,-0.781920 51.638210,-0.781707 51.638175,-0.781499 51.638623,-0.780460 51.638391,-0.780691 51.637976,-0.780383 51.637958,-0.780151 51.638072,-0.779848 51.637963,-0.780400 51.637001)))",Mill End Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPMILL
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPKNV,,,2021-01-08,"MULTIPOLYGON (((-0.694350 51.601739,-0.694879 51.601384,-0.697055 51.602758,-0.696902 51.602848,-0.696876 51.602831,-0.696541 51.603033,-0.696989 51.603361,-0.697546 51.603891,-0.697783 51.604319,-0.697819 51.604328,-0.697924 51.604538,-0.697926 51.604628,-0.697994 51.604636,-0.698238 51.604801,-0.698324 51.604936,-0.698820 51.604519,-0.698991 51.604644,-0.698674 51.604743,-0.698560 51.604913,-0.698366 51.604992,-0.698432 51.605093,-0.698378 51.605213,-0.697920 51.605601,-0.697874 51.605717,-0.697948 51.605855,-0.698021 51.605919,-0.698169 51.605974,-0.698017 51.605986,-0.697796 51.605908,-0.696815 51.606517,-0.695310 51.605864,-0.695257 51.605301,-0.695185 51.605236,-0.695102 51.605211,-0.694864 51.605436,-0.694589 51.605569,-0.694434 51.605609,-0.694302 51.605619,-0.693978 51.605543,-0.693940 51.605501,-0.693947 51.605359,-0.694147 51.604900,-0.694124 51.604896,-0.694235 51.604597,-0.694255 51.604237,-0.694058 51.603599,-0.693712 51.603201,-0.693363 51.602973,-0.693052 51.602821,-0.692183 51.602608,-0.691708 51.602546,-0.689682 51.602398,-0.689922 51.602255,-0.690156 51.602161,-0.690543 51.602140,-0.690754 51.602080,-0.690877 51.601967,-0.690858 51.601897,-0.690993 51.601916,-0.691425 51.601781,-0.691970 51.601691,-0.692182 51.601578,-0.692344 51.601443,-0.692833 51.601271,-0.693688 51.601901,-0.693944 51.602023,-0.694350 51.601739)))",Knaves Beech Way,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPKNV
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPGFT,,,2021-01-08,"MULTIPOLYGON (((-0.772256 51.635134,-0.772290 51.635017,-0.772834 51.635062,-0.772885 51.634865,-0.774012 51.634963,-0.774101 51.634623,-0.775312 51.634733,-0.775215 51.634979,-0.775063 51.635169,-0.774876 51.635336,-0.772256 51.635134)),((-0.772725 51.635810,-0.772659 51.635508,-0.772604 51.635420,-0.772413 51.635381,-0.772173 51.635438,-0.772260 51.635205,-0.773712 51.635327,-0.773752 51.635355,-0.773630 51.635919,-0.773558 51.635942,-0.773515 51.635935,-0.773527 51.635881,-0.772725 51.635810)))",Grafton Street,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPGFT
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPBEL,,,2021-01-08,"MULTIPOLYGON (((-0.754505 51.635912,-0.754824 51.635435,-0.754922 51.635456,-0.754853 51.635558,-0.755224 51.635642,-0.755138 51.636049,-0.755195 51.636237,-0.755243 51.636595,-0.755619 51.637263,-0.755905 51.637854,-0.755903 51.638128,-0.755513 51.638344,-0.755224 51.638338,-0.755055 51.638948,-0.754615 51.639036,-0.754223 51.639063,-0.754311 51.637496,-0.754389 51.636621,-0.754505 51.635912)))",Bellfield Road,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPBEL
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPHUG,,,2021-01-08,"MULTIPOLYGON (((-0.753928 51.639872,-0.753918 51.640003,-0.753118 51.639994,-0.753071 51.639101,-0.753967 51.639182,-0.754707 51.639118,-0.755436 51.638936,-0.755506 51.639341,-0.755723 51.640138,-0.755200 51.640156,-0.753928 51.639872),(-0.753969 51.639185,-0.753976 51.639209,-0.753968 51.639349,-0.753980 51.639212,-0.753969 51.639185)),((-0.751130 51.639382,-0.751141 51.639333,-0.751076 51.639316,-0.751148 51.639286,-0.751261 51.639092,-0.751651 51.638854,-0.751798 51.638864,-0.752554 51.639064,-0.752572 51.639260,-0.752685 51.639561,-0.752788 51.639563,-0.752805 51.639763,-0.752474 51.639750,-0.752437 51.639644,-0.752319 51.639625,-0.751747 51.639599,-0.751271 51.639506,-0.751081 51.639505,-0.751130 51.639382)))",Hughenden Avenue,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHUG
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPLE,,,2021-01-08,"MULTIPOLYGON (((-0.833979 51.619961,-0.834038 51.620134,-0.833914 51.620161,-0.833905 51.620293,-0.833364 51.620284,-0.833567 51.620913,-0.832772 51.620941,-0.832698 51.620278,-0.832674 51.619526,-0.832697 51.619489,-0.832727 51.619495,-0.832939 51.619069,-0.833020 51.618978,-0.833095 51.618968,-0.833137 51.619023,-0.833324 51.619028,-0.833366 51.619084,-0.833886 51.618948,-0.834002 51.619144,-0.833600 51.619257,-0.833638 51.619288,-0.833658 51.619473,-0.833785 51.619640,-0.833833 51.619640,-0.833939 51.619766,-0.833979 51.619961)))",Lane End Industrial Park,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPLE
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPHW,,,2021-01-08,"MULTIPOLYGON (((-0.722767 51.618700,-0.722456 51.618983,-0.722353 51.619012,-0.721958 51.618586,-0.722012 51.618567,-0.721608 51.618113,-0.722160 51.617921,-0.722410 51.618194,-0.722493 51.618202,-0.722575 51.618290,-0.722639 51.618320,-0.722850 51.618321,-0.722990 51.618381,-0.722902 51.618461,-0.722938 51.618545,-0.722767 51.618700)))",High Wycombe Business Park,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHW
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPLGH,,,2021-01-08,"MULTIPOLYGON (((-0.764024 51.631385,-0.763702 51.631664,-0.763550 51.631863,-0.763417 51.631814,-0.763273 51.631976,-0.763113 51.631911,-0.763291 51.631698,-0.763006 51.631601,-0.763157 51.631414,-0.762786 51.631325,-0.762938 51.631036,-0.763829 51.631265,-0.764024 51.631385)))",Leigh Street,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPLGH
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPDAW,,,2021-01-08,"MULTIPOLYGON (((-0.745169 51.614841,-0.745415 51.614659,-0.745932 51.614362,-0.746168 51.614357,-0.746926 51.614460,-0.747030 51.614498,-0.747177 51.614635,-0.747277 51.614607,-0.747593 51.614946,-0.747746 51.615163,-0.747450 51.615179,-0.747203 51.615114,-0.747199 51.615091,-0.747015 51.615266,-0.745935 51.615507,-0.745818 51.614979,-0.745468 51.614984,-0.745169 51.614841)))",Daws Hill Employment Area,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPDAW
1b482d0f57d12f6b3d1e77b040cb28bd47cde5768441422260b4aa6d8812be20,LPMB,,,2021-01-08,"MULTIPOLYGON (((-0.705916 51.576887,-0.705849 51.576829,-0.705996 51.576518,-0.706040 51.576163,-0.705990 51.576040,-0.706538 51.576271,-0.706601 51.576210,-0.706850 51.576320,-0.706644 51.576487,-0.706883 51.576578,-0.706759 51.576696,-0.706809 51.576709,-0.706416 51.577044,-0.705916 51.576887)),((-0.706630 51.576977,-0.706909 51.576747,-0.707424 51.576957,-0.707219 51.577166,-0.706630 51.576977)))",Meadow Bank,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPMB
2a0fbb4617763bb2644fa489edcb36942cd07743dce4adfd4791e0ce37ca135a,LPLIW,,,2021-01-08,"MULTIPOLYGON (((-0.861714 51.734805,-0.855328 51.732089,-0.855752 51.731643,-0.855672 51.731486,-0.855522 51.731416,-0.856054 51.730753,-0.856001 51.730737,-0.856019 51.730716,-0.856293 51.730783,-0.856824 51.731051,-0.857015 51.731024,-0.857605 51.731072,-0.858012 51.730923,-0.858464 51.730678,-0.863775 51.733852,-0.861714 51.734805)))",Land north of Lower Icknield Way,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPLIW
33943492cbaa803a874b432e3d272a4b447611bdf56eac14d465f65ecff3892f,LPHS2,,,2021-01-08,"MULTIPOLYGON (((-0.776841 51.774975,-0.776789 51.774828,-0.776667 51.774850,-0.776595 51.774790,-0.776600 51.774745,-0.776702 51.774708,-0.776221 51.774090,-0.775839 51.773693,-0.775481 51.773585,-0.775361 51.773500,-0.774999 51.773403,-0.774110 51.773054,-0.773741 51.773216,-0.773181 51.772718,-0.772366 51.772406,-0.770602 51.773228,-0.770877 51.773444,-0.771386 51.773966,-0.771663 51.774163,-0.771609 51.774202,-0.771332 51.773984,-0.770499 51.773158,-0.770500 51.773099,-0.769449 51.772179,-0.769293 51.771962,-0.769050 51.771523,-0.769000 51.771539,-0.769008 51.771470,-0.769267 51.771378,-0.769207 51.771360,-0.769750 51.771148,-0.766811 51.768814,-0.767701 51.768361,-0.767828 51.768131,-0.767875 51.767861,-0.767869 51.767677,-0.767671 51.767497,-0.767537 51.767138,-0.779135 51.769105,-0.778978 51.769452,-0.772484 51.768341,-0.772377 51.769499,-0.773396 51.769201,-0.773581 51.769950,-0.774052 51.769833,-0.774110 51.769917,-0.773972 51.769968,-0.773901 51.769925,-0.773851 51.769937,-0.773744 51.770023,-0.773789 51.770051,-0.773625 51.770125,-0.773701 51.770311,-0.773949 51.770281,-0.774139 51.770337,-0.774270 51.770562,-0.773893 51.770757,-0.773038 51.770859,-0.773210 51.771133,-0.773264 51.771160,-0.773105 51.771240,-0.773658 51.771705,-0.773813 51.771638,-0.775618 51.772404,-0.776030 51.772229,-0.777198 51.772198,-0.778101 51.772229,-0.778650 51.772192,-0.779209 51.772237,-0.779408 51.772315,-0.779613 51.772502,-0.780087 51.772561,-0.780293 51.772708,-0.780365 51.772984,-0.780634 51.773163,-0.780664 51.773261,-0.780640 51.773379,-0.780903 51.773712,-0.780957 51.773694,-0.782292 51.774805,-0.782000 51.774943,-0.781800 51.774978,-0.781526 51.774885,-0.781259 51.774922,-0.781209 51.774885,-0.781194 51.774802,-0.781133 51.774753,-0.780804 51.774704,-0.780552 51.774604,-0.780427 51.774469,-0.779675 51.774228,-0.779517 51.774321,-0.779326 51.774346,-0.778714 51.774519,-0.778626 51.774605,-0.778296 51.774586,-0.777731 51.774690,-0.776841 51.774975),(-0.767985 51.767587,-0.768014 51.767866,-0.768107 51.767936,-0.769295 51.768448,-0.769931 51.768802,-0.770170 51.768586,-0.770263 51.768545,-0.770302 51.768591,-0.772083 51.769543,-0.772199 51.768294,-0.767985 51.767587)),((-0.800594 51.780387,-0.800190 51.780603,-0.799562 51.780253,-0.799448 51.780286,-0.799823 51.780776,-0.798574 51.781393,-0.798421 51.781251,-0.798619 51.781116,-0.798453 51.780801,-0.798461 51.780665,-0.798528 51.780568,-0.797884 51.780765,-0.797800 51.780691,-0.798418 51.780502,-0.797860 51.779389,-0.797659 51.779077,-0.797477 51.778836,-0.797087 51.778521,-0.796551 51.778124,-0.795996 51.777833,-0.794553 51.777357,-0.794492 51.777413,-0.794073 51.777424,-0.794032 51.777461,-0.793961 51.777431,-0.794122 51.777286,-0.793023 51.777121,-0.792506 51.776731,-0.793503 51.776176,-0.793083 51.775900,-0.793503 51.776176,-0.793103 51.776400,-0.793240 51.776434,-0.794767 51.776711,-0.795183 51.776338,-0.795255 51.776369,-0.795174 51.776441,-0.795295 51.776685,-0.795175 51.776793,-0.795987 51.777010,-0.796726 51.777301,-0.797431 51.777681,-0.798168 51.778199,-0.798491 51.778543,-0.798715 51.778858,-0.799402 51.780201,-0.799976 51.780026,-0.800594 51.780387)),((-0.809898 51.781977,-0.808980 51.782455,-0.808414 51.780708,-0.808144 51.780061,-0.807735 51.780136,-0.807482 51.779601,-0.807009 51.779361,-0.807849 51.778804,-0.807776 51.778669,-0.807818 51.778633,-0.807792 51.778503,-0.807968 51.778455,-0.807935 51.778393,-0.807783 51.778430,-0.807284 51.777443,-0.807351 51.777391,-0.807242 51.777244,-0.807206 51.777061,-0.807235 51.776986,-0.807393 51.776875,-0.807496 51.776849,-0.807733 51.776858,-0.807863 51.776719,-0.810715 51.775854,-0.810705 51.775424,-0.810780 51.775221,-0.810854 51.775227,-0.810906 51.775093,-0.811036 51.775057,-0.811309 51.775193,-0.811285 51.775227,-0.811131 51.775187,-0.811006 51.775213,-0.810921 51.775442,-0.810938 51.775936,-0.808018 51.776822,-0.807906 51.776943,-0.808008 51.777056,-0.808043 51.777347,-0.807918 51.777505,-0.807819 51.777512,-0.808166 51.778159,-0.808457 51.778311,-0.808643 51.778307,-0.808855 51.778369,-0.809702 51.778739,-0.809055 51.779101,-0.809401 51.779833,-0.808806 51.779941,-0.809124 51.780616,-0.809392 51.780571,-0.809898 51.781977)),((-0.800875 51.777081,-0.800702 51.777005,-0.801244 51.776684,-0.802092 51.775998,-0.802282 51.776081,-0.801650 51.776608,-0.801259 51.776876,-0.801936 51.777198,-0.801355 51.777669,-0.800595 51.777308,-0.800875 51.777081)),((-0.805912 51.779173,-0.806646 51.779501,-0.806341 51.779697,-0.805648 51.779387,-0.805480 51.779523,-0.804721 51.779162,-0.805302 51.778691,-0.806062 51.779051,-0.805912 51.779173)),((-0.783742 51.770505,-0.783561 51.770605,-0.783321 51.770544,-0.783309 51.770564,-0.780648 51.769855,-0.780633 51.769876,-0.780367 51.769805,-0.780481 51.769640,-0.780747 51.769711,-0.780733 51.769731,-0.783134 51.770350,-0.783148 51.770330,-0.783417 51.770397,-0.783402 51.770419,-0.783742 51.770505)),((-0.787219 51.772116,-0.786895 51.772149,-0.785714 51.771188,-0.785624 51.770983,-0.785978 51.771046,-0.785953 51.771086,-0.787219 51.772116)),((-0.771619 51.774211,-0.771885 51.774327,-0.772053 51.774437,-0.772798 51.775022,-0.773140 51.775319,-0.773972 51.776097,-0.774144 51.776228,-0.774242 51.776248,-0.774173 51.776277,-0.774001 51.776166,-0.773417 51.775643,-0.773048 51.775248,-0.772687 51.774952,-0.772057 51.774466,-0.771794 51.774300,-0.771596 51.774231,-0.771619 51.774211)),((-0.792513 51.775514,-0.792181 51.775278,-0.792099 51.775212,-0.792181 51.775278,-0.792513 51.775514)))",HS2 Safeguarded Land,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPHS2
